Category: All categories

Week,Artificial intelligence: (Worldwide),NVIDIA: (Worldwide),Graphics processing unit: (Worldwide),Graphics card: (Worldwide),ChatGPT: (Worldwide)
2020-03-22,3,0,1,2,0
2020-03-29,3,0,1,2,0
2020-04-05,3,0,1,2,0
2020-04-12,3,0,1,2,0
2020-04-19,3,0,1,2,0
2020-04-26,3,0,1,2,0
2020-05-03,3,0,1,2,0
2020-05-10,3,0,1,2,0
2020-05-17,3,0,1,2,0
2020-05-24,3,0,1,2,0
2020-05-31,3,0,1,2,0
2020-06-07,3,0,1,2,0
2020-06-14,3,<1,1,2,0
2020-06-21,3,0,1,2,0
2020-06-28,3,0,1,2,0
2020-07-05,3,0,1,2,0
2020-07-12,2,0,1,2,0
2020-07-19,2,0,1,2,0
2020-07-26,2,0,1,2,0
2020-08-02,2,0,1,2,0
2020-08-09,2,0,1,2,0
2020-08-16,2,0,1,2,0
2020-08-23,2,0,1,2,0
2020-08-30,2,0,1,2,0
2020-09-06,3,0,1,2,0
2020-09-13,2,0,1,2,0
2020-09-20,3,0,1,2,0
2020-09-27,2,0,1,2,0
2020-10-04,2,0,1,2,0
2020-10-11,2,0,1,2,0
2020-10-18,2,0,1,2,0
2020-10-25,2,0,1,2,0
2020-11-01,2,0,1,2,0
2020-11-08,2,0,1,2,0
2020-11-15,2,0,1,2,0
2020-11-22,2,0,1,2,0
2020-11-29,2,0,1,2,0
2020-12-06,3,0,1,2,0
2020-12-13,3,0,1,2,0
2020-12-20,3,0,1,2,0
2020-12-27,2,0,1,2,0
2021-01-03,2,0,1,2,0
2021-01-10,3,0,1,2,0
2021-01-17,2,0,1,2,0
2021-01-24,3,0,1,2,0
2021-01-31,2,0,1,2,0
2021-02-07,3,0,1,2,0
2021-02-14,3,0,1,2,0
2021-02-21,3,0,1,2,0
2021-02-28,3,0,1,2,0
2021-03-07,3,0,1,2,0
2021-03-14,3,0,1,2,0
2021-03-21,3,0,1,2,0
2021-03-28,3,0,1,2,0
2021-04-04,3,0,1,2,0
2021-04-11,3,0,1,2,0
2021-04-18,3,0,1,2,0
2021-04-25,3,0,1,2,0
2021-05-02,3,0,1,2,0
2021-05-09,3,0,1,2,0
2021-05-16,3,0,1,2,0
2021-05-23,3,0,1,2,0
2021-05-30,3,0,1,2,0
2021-06-06,3,0,1,2,0
2021-06-13,3,0,1,2,0
2021-06-20,3,0,1,2,0
2021-06-27,3,0,1,2,0
2021-07-04,3,0,1,2,0
2021-07-11,3,0,1,2,0
2021-07-18,3,0,1,2,0
2021-07-25,3,0,1,2,0
2021-08-01,3,0,1,2,0
2021-08-08,3,0,1,2,0
2021-08-15,3,0,1,2,0
2021-08-22,3,0,1,2,0
2021-08-29,3,0,1,2,0
2021-09-05,3,0,1,2,0
2021-09-12,3,0,1,2,0
2021-09-19,3,0,1,2,0
2021-09-26,3,0,1,2,0
2021-10-03,3,0,1,2,0
2021-10-10,3,0,1,2,0
2021-10-17,3,0,1,2,0
2021-10-24,3,0,1,2,0
2021-10-31,3,0,1,2,0
2021-11-07,3,0,1,2,0
2021-11-14,3,0,1,2,0
2021-11-21,3,0,1,2,0
